utc_timestamp,rate
2020-03-01T00:00:00:000Z,922650.0
2020-03-01T00:05:00:000Z,928044.0
2020-03-01T00:10:00:000Z,930494.0
2020-03-01T00:15:00:000Z,928498.0
2020-03-01T00:20:00:000Z,930439.0
2020-03-01T00:25:00:000Z,928832.0
2020-03-01T00:30:00:000Z,931671.0
2020-03-01T00:35:00:000Z,929632.0
2020-03-01T00:40:00:000Z,927479.0
2020-03-01T00:45:00:000Z,925363.0
2020-03-01T00:50:00:000Z,924704.0
2020-03-01T00:55:00:000Z,926092.0
2020-03-01T01:00:00:000Z,924620.0
2020-03-01T01:05:00:000Z,924730.0
2020-03-01T01:10:00:000Z,923035.0
2020-03-01T01:15:00:000Z,921928.0
2020-03-01T01:20:00:000Z,924535.0
2020-03-01T01:25:00:000Z,925610.0
2020-03-01T01:30:00:000Z,925499.0
2020-03-01T01:35:00:000Z,925449.0
2020-03-01T01:40:00:000Z,929194.0
2020-03-01T01:45:00:000Z,929800.0
2020-03-01T01:50:00:000Z,930116.0
2020-03-01T01:55:00:000Z,931545.0
2020-03-01T02:00:00:000Z,934068.0
2020-03-01T02:05:00:000Z,934769.0
2020-03-01T02:10:00:000Z,934000.0
2020-03-01T02:15:00:000Z,933000.0
2020-03-01T02:20:00:000Z,932018.0
2020-03-01T02:25:00:000Z,932543.0
2020-03-01T02:30:00:000Z,933288.0
2020-03-01T02:35:00:000Z,933128.0
2020-03-01T02:40:00:000Z,933427.0
2020-03-01T02:45:00:000Z,933037.0
2020-03-01T02:50:00:000Z,933743.0
2020-03-01T02:55:00:000Z,932431.0
2020-03-01T03:00:00:000Z,932557.0
2020-03-01T03:05:00:000Z,932187.0
2020-03-01T03:10:00:000Z,934049.0
2020-03-01T03:15:00:000Z,933724.0
2020-03-01T03:20:00:000Z,933904.0
2020-03-01T03:25:00:000Z,934405.0
2020-03-01T03:30:00:000Z,935900.0
2020-03-01T03:35:00:000Z,935200.0
2020-03-01T03:40:00:000Z,934246.0
2020-03-01T03:45:00:000Z,933882.0
2020-03-01T03:50:00:000Z,933374.0
2020-03-01T03:55:00:000Z,932445.0
2020-03-01T04:00:00:000Z,931481.0
2020-03-01T04:05:00:000Z,932620.0
2020-03-01T04:10:00:000Z,930207.0
2020-03-01T04:15:00:000Z,928463.0
2020-03-01T04:20:00:000Z,927739.0
2020-03-01T04:25:00:000Z,926758.0
2020-03-01T04:30:00:000Z,926202.0
2020-03-01T04:35:00:000Z,927798.0
2020-03-01T04:40:00:000Z,926347.0
2020-03-01T04:45:00:000Z,926385.0
2020-03-01T04:50:00:000Z,928000.0
2020-03-01T04:55:00:000Z,928731.0
2020-03-01T05:00:00:000Z,927808.0
2020-03-01T05:05:00:000Z,926885.0
2020-03-01T05:10:00:000Z,927260.0
2020-03-01T05:15:00:000Z,925295.0
2020-03-01T05:20:00:000Z,926025.0
2020-03-01T05:25:00:000Z,925334.0
2020-03-01T05:30:00:000Z,925255.0
2020-03-01T05:35:00:000Z,926883.0
2020-03-01T05:40:00:000Z,927944.0
