utc_timestamp,rate
2017-04-01T00:00:00:000Z,121656.0
2017-04-01T00:05:00:000Z,121416.0
2017-04-01T00:10:00:000Z,121626.0
2017-04-01T00:15:00:000Z,121545.0
2017-04-01T00:20:00:000Z,121587.0
2017-04-01T00:25:00:000Z,121690.0
2017-04-01T00:30:00:000Z,121805.0
2017-04-01T00:35:00:000Z,121715.0
2017-04-01T00:40:00:000Z,121801.0
2017-04-01T00:45:00:000Z,121821.0
2017-04-01T00:50:00:000Z,121650.0
2017-04-01T00:55:00:000Z,121617.0
2017-04-01T01:00:00:000Z,121526.0
2017-04-01T01:05:00:000Z,121700.0
2017-04-01T01:10:00:000Z,121701.0
2017-04-01T01:15:00:000Z,121705.0
2017-04-01T01:20:00:000Z,121769.0
2017-04-01T01:25:00:000Z,121800.0
2017-04-01T01:30:00:000Z,121735.0
2017-04-01T01:35:00:000Z,121703.0
2017-04-01T01:40:00:000Z,121774.0
2017-04-01T01:45:00:000Z,121849.0
2017-04-01T01:50:00:000Z,121846.0
2017-04-01T01:55:00:000Z,121806.0
2017-04-01T02:00:00:000Z,121715.0
2017-04-01T02:05:00:000Z,121761.0
2017-04-01T02:10:00:000Z,121827.0
2017-04-01T02:15:00:000Z,121860.0
2017-04-01T02:20:00:000Z,121836.0
2017-04-01T02:25:00:000Z,121850.0
2017-04-01T02:30:00:000Z,121900.0
2017-04-01T02:35:00:000Z,121906.0
2017-04-01T02:40:00:000Z,121899.0
2017-04-01T02:45:00:000Z,121800.0
2017-04-01T02:50:00:000Z,121715.0
2017-04-01T02:55:00:000Z,121701.0
2017-04-01T03:00:00:000Z,121701.0
2017-04-01T03:05:00:000Z,121834.0
2017-04-01T03:10:00:000Z,121702.0
2017-04-01T03:15:00:000Z,121751.0
2017-04-01T03:20:00:000Z,121712.0
2017-04-01T03:25:00:000Z,121749.0
2017-04-01T03:30:00:000Z,121700.0
2017-04-01T03:35:00:000Z,121300.0
2017-04-01T03:40:00:000Z,121527.0
2017-04-01T03:45:00:000Z,121540.0
2017-04-01T03:50:00:000Z,121499.0
2017-04-01T03:55:00:000Z,121309.0
2017-04-01T04:00:00:000Z,121320.0
2017-04-01T04:05:00:000Z,121375.0
2017-04-01T04:10:00:000Z,121299.0
2017-04-01T04:15:00:000Z,121289.0
2017-04-01T04:20:00:000Z,121077.0
2017-04-01T04:25:00:000Z,120981.0
2017-04-01T04:30:00:000Z,120937.0
2017-04-01T04:35:00:000Z,120890.0
2017-04-01T04:40:00:000Z,120860.0
2017-04-01T04:45:00:000Z,120794.0
2017-04-01T04:50:00:000Z,120926.0
2017-04-01T04:55:00:000Z,120802.0
2017-04-01T05:00:00:000Z,120852.0
2017-04-01T05:05:00:000Z,120865.0
2017-04-01T05:10:00:000Z,120847.0
2017-04-01T05:15:00:000Z,120851.0
2017-04-01T05:20:00:000Z,120891.0
2017-04-01T05:25:00:000Z,120930.0
2017-04-01T05:30:00:000Z,120820.0
2017-04-01T05:35:00:000Z,120790.0
2017-04-01T05:40:00:000Z,120875.0
2017-04-01T05:45:00:000Z,121050.0
2017-04-01T05:50:00:000Z,121100.0
2017-04-01T05:55:00:000Z,121129.0
2017-04-01T06:00:00:000Z,121205.0
2017-04-01T06:05:00:000Z,121334.0
2017-04-01T06:10:00:000Z,121231.0
2017-04-01T06:15:00:000Z,121355.0
2017-04-01T06:20:00:000Z,121498.0
2017-04-01T06:25:00:000Z,121301.0
2017-04-01T06:30:00:000Z,121350.0
2017-04-01T06:35:00:000Z,121343.0
2017-04-01T06:40:00:000Z,121350.0
2017-04-01T06:45:00:000Z,121401.0
2017-04-01T06:50:00:000Z,121493.0
2017-04-01T06:55:00:000Z,121549.0
2017-04-01T07:00:00:000Z,121676.0
2017-04-01T07:05:00:000Z,121755.0
2017-04-01T07:10:00:000Z,121599.0
2017-04-01T07:15:00:000Z,121678.0
2017-04-01T07:20:00:000Z,121800.0
2017-04-01T07:25:00:000Z,121905.0
2017-04-01T07:30:00:000Z,122011.0
2017-04-01T07:35:00:000Z,122163.0
2017-04-01T07:40:00:000Z,122359.0
2017-04-01T07:45:00:000Z,122334.0
2017-04-01T07:50:00:000Z,122244.0
2017-04-01T07:55:00:000Z,122173.0
2017-04-01T08:00:00:000Z,122555.0
2017-04-01T08:05:00:000Z,122499.0
2017-04-01T08:10:00:000Z,122436.0
2017-04-01T08:15:00:000Z,122404.0
2017-04-01T08:20:00:000Z,122395.0
2017-04-01T08:25:00:000Z,122597.0
2017-04-01T08:30:00:000Z,122551.0
2017-04-01T08:35:00:000Z,122701.0
2017-04-01T08:40:00:000Z,122850.0
2017-04-01T08:45:00:000Z,122900.0
2017-04-01T08:50:00:000Z,123000.0
2017-04-01T08:55:00:000Z,122940.0
2017-04-01T09:00:00:000Z,123298.0
2017-04-01T09:05:00:000Z,123599.0
2017-04-01T09:10:00:000Z,124165.0
2017-04-01T09:15:00:000Z,124111.0
2017-04-01T09:20:00:000Z,123901.0
2017-04-01T09:25:00:000Z,124178.0
2017-04-01T09:30:00:000Z,123800.0
2017-04-01T09:35:00:000Z,123894.0
2017-04-01T09:40:00:000Z,123718.0
2017-04-01T09:45:00:000Z,123401.0
2017-04-01T09:50:00:000Z,122900.0
2017-04-01T09:55:00:000Z,123273.0
2017-04-01T10:00:00:000Z,123170.0
2017-04-01T10:05:00:000Z,123039.0
2017-04-01T10:10:00:000Z,123361.0
2017-04-01T10:15:00:000Z,123395.0
2017-04-01T10:20:00:000Z,123727.0
2017-04-01T10:25:00:000Z,123994.0
2017-04-01T10:30:00:000Z,123800.0
2017-04-01T10:35:00:000Z,123725.0
2017-04-01T10:40:00:000Z,123627.0
2017-04-01T10:45:00:000Z,123661.0
2017-04-01T10:50:00:000Z,123620.0
2017-04-01T10:55:00:000Z,123777.0
2017-04-01T11:00:00:000Z,123796.0
2017-04-01T11:05:00:000Z,123800.0
2017-04-01T11:10:00:000Z,123926.0
2017-04-01T11:15:00:000Z,123899.0
2017-04-01T11:20:00:000Z,123563.0
2017-04-01T11:25:00:000Z,123303.0
2017-04-01T11:30:00:000Z,123163.0
2017-04-01T11:35:00:000Z,123349.0
2017-04-01T11:40:00:000Z,123455.0
2017-04-01T11:45:00:000Z,123450.0
2017-04-01T11:50:00:000Z,123303.0
2017-04-01T11:55:00:000Z,123313.0
2017-04-01T12:00:00:000Z,123104.0
2017-04-01T12:05:00:000Z,123272.0
2017-04-01T12:10:00:000Z,123299.0
2017-04-01T12:15:00:000Z,123800.0
2017-04-01T12:20:00:000Z,123656.0
2017-04-01T12:25:00:000Z,123441.0
2017-04-01T12:30:00:000Z,123451.0
2017-04-01T12:35:00:000Z,123346.0
2017-04-01T12:40:00:000Z,123129.0
2017-04-01T12:45:00:000Z,123105.0
2017-04-01T12:50:00:000Z,123180.0
2017-04-01T12:55:00:000Z,123208.0
2017-04-01T13:00:00:000Z,123035.0
2017-04-01T13:05:00:000Z,122865.0
2017-04-01T13:10:00:000Z,123329.0
2017-04-01T13:15:00:000Z,123195.0
2017-04-01T13:20:00:000Z,123284.0
2017-04-01T13:25:00:000Z,123163.0
2017-04-01T13:30:00:000Z,123201.0
2017-04-01T13:35:00:000Z,123149.0
2017-04-01T13:40:00:000Z,123166.0
2017-04-01T13:45:00:000Z,123001.0
2017-04-01T13:50:00:000Z,122922.0
2017-04-01T13:55:00:000Z,123030.0
2017-04-01T14:00:00:000Z,122993.0
2017-04-01T14:05:00:000Z,122856.0
2017-04-01T14:10:00:000Z,122999.0
2017-04-01T14:15:00:000Z,122972.0
2017-04-01T14:20:00:000Z,122851.0
2017-04-01T14:25:00:000Z,122177.0
2017-04-01T14:30:00:000Z,122500.0
2017-04-01T14:35:00:000Z,122661.0
2017-04-01T14:40:00:000Z,122801.0
2017-04-01T14:45:00:000Z,122588.0
2017-04-01T14:50:00:000Z,122251.0
2017-04-01T14:55:00:000Z,122044.0
2017-04-01T15:00:00:000Z,122115.0
2017-04-01T15:05:00:000Z,122300.0
2017-04-01T15:10:00:000Z,122346.0
2017-04-01T15:15:00:000Z,122208.0
2017-04-01T15:20:00:000Z,121914.0
2017-04-01T15:25:00:000Z,121820.0
2017-04-01T15:30:00:000Z,121910.0
2017-04-01T15:35:00:000Z,121672.0
2017-04-01T15:40:00:000Z,120852.0
2017-04-01T15:45:00:000Z,121146.0
2017-04-01T15:50:00:000Z,121079.0
2017-04-01T15:55:00:000Z,121619.0
2017-04-01T16:00:00:000Z,121673.0
2017-04-01T16:05:00:000Z,121420.0
2017-04-01T16:10:00:000Z,121351.0
2017-04-01T16:15:00:000Z,121364.0
2017-04-01T16:20:00:000Z,121296.0
2017-04-01T16:25:00:000Z,121339.0
2017-04-01T16:30:00:000Z,121359.0
2017-04-01T16:35:00:000Z,121557.0
2017-04-01T16:40:00:000Z,121800.0
2017-04-01T16:45:00:000Z,122000.0
2017-04-01T16:50:00:000Z,121959.0
2017-04-01T16:55:00:000Z,121923.0
2017-04-01T17:00:00:000Z,121903.0
2017-04-01T17:05:00:000Z,121796.0
2017-04-01T17:10:00:000Z,121172.0
2017-04-01T17:15:00:000Z,121010.0
2017-04-01T17:20:00:000Z,121404.0
2017-04-01T17:25:00:000Z,121562.0
2017-04-01T17:30:00:000Z,121805.0
2017-04-01T17:35:00:000Z,121699.0
2017-04-01T17:40:00:000Z,121601.0
2017-04-01T17:45:00:000Z,121661.0
2017-04-01T17:50:00:000Z,121363.0
2017-04-01T17:55:00:000Z,121298.0
2017-04-01T18:00:00:000Z,121478.0
2017-04-01T18:05:00:000Z,121531.0
2017-04-01T18:10:00:000Z,121411.0
2017-04-01T18:15:00:000Z,121429.0
2017-04-01T18:20:00:000Z,121472.0
2017-04-01T18:25:00:000Z,121572.0
2017-04-01T18:30:00:000Z,121578.0
2017-04-01T18:35:00:000Z,121623.0
2017-04-01T18:40:00:000Z,121503.0
2017-04-01T18:45:00:000Z,121733.0
2017-04-01T18:50:00:000Z,121678.0
2017-04-01T18:55:00:000Z,121500.0
2017-04-01T19:00:00:000Z,121498.0
2017-04-01T19:05:00:000Z,121559.0
2017-04-01T19:10:00:000Z,121520.0
2017-04-01T19:15:00:000Z,121651.0
2017-04-01T19:20:00:000Z,121691.0
2017-04-01T19:25:00:000Z,121799.0
2017-04-01T19:30:00:000Z,121845.0
2017-04-01T19:35:00:000Z,121900.0
2017-04-01T19:40:00:000Z,121916.0
2017-04-01T19:45:00:000Z,121987.0
2017-04-01T19:50:00:000Z,121772.0
2017-04-01T19:55:00:000Z,121891.0
2017-04-01T20:00:00:000Z,122106.0
2017-04-01T20:05:00:000Z,121782.0
2017-04-01T20:10:00:000Z,121780.0
2017-04-01T20:15:00:000Z,121730.0
2017-04-01T20:20:00:000Z,121600.0
2017-04-01T20:25:00:000Z,121796.0
2017-04-01T20:30:00:000Z,121190.0
2017-04-01T20:35:00:000Z,121191.0
2017-04-01T20:40:00:000Z,121300.0
2017-04-01T20:45:00:000Z,121021.0
2017-04-01T20:50:00:000Z,121617.0
2017-04-01T20:55:00:000Z,121912.0
2017-04-01T21:00:00:000Z,121899.0
2017-04-01T21:05:00:000Z,121769.0
2017-04-01T21:10:00:000Z,121896.0
2017-04-01T21:15:00:000Z,121863.0
2017-04-01T21:20:00:000Z,121780.0
2017-04-01T21:25:00:000Z,121787.0
2017-04-01T21:30:00:000Z,121776.0
2017-04-01T21:35:00:000Z,121806.0
2017-04-01T21:40:00:000Z,121783.0
2017-04-01T21:45:00:000Z,121852.0
2017-04-01T21:50:00:000Z,121840.0
2017-04-01T21:55:00:000Z,121763.0
2017-04-01T22:00:00:000Z,121751.0
2017-04-01T22:05:00:000Z,121739.0
2017-04-01T22:10:00:000Z,121774.0
2017-04-01T22:15:00:000Z,121841.0
2017-04-01T22:20:00:000Z,121739.0
2017-04-01T22:25:00:000Z,121775.0
2017-04-01T22:30:00:000Z,122009.0
2017-04-01T22:35:00:000Z,122130.0
2017-04-01T22:40:00:000Z,122180.0
2017-04-01T22:45:00:000Z,121974.0
2017-04-01T22:50:00:000Z,122073.0
2017-04-01T22:55:00:000Z,122001.0
2017-04-01T23:00:00:000Z,122003.0
2017-04-01T23:05:00:000Z,122043.0
2017-04-01T23:10:00:000Z,122076.0
2017-04-01T23:15:00:000Z,122250.0
2017-04-01T23:20:00:000Z,122126.0
2017-04-01T23:25:00:000Z,122360.0
2017-04-01T23:30:00:000Z,122504.0
2017-04-01T23:35:00:000Z,122646.0
2017-04-01T23:40:00:000Z,122650.0
2017-04-01T23:45:00:000Z,122742.0
2017-04-01T23:50:00:000Z,122953.0
2017-04-01T23:55:00:000Z,122829.0
2017-04-02T00:00:00:000Z,122742.0
2017-04-02T00:05:00:000Z,122761.0
2017-04-02T00:10:00:000Z,122778.0
2017-04-02T00:15:00:000Z,122706.0
2017-04-02T00:20:00:000Z,122726.0
2017-04-02T00:25:00:000Z,122600.0
2017-04-02T00:30:00:000Z,122672.0
2017-04-02T00:35:00:000Z,122670.0
2017-04-02T00:40:00:000Z,122225.0
2017-04-02T00:45:00:000Z,122385.0
2017-04-02T00:50:00:000Z,122293.0
2017-04-02T00:55:00:000Z,122192.0
2017-04-02T01:00:00:000Z,122222.0
2017-04-02T01:05:00:000Z,122201.0
2017-04-02T01:10:00:000Z,122125.0
2017-04-02T01:15:00:000Z,122196.0
2017-04-02T01:20:00:000Z,122197.0
2017-04-02T01:25:00:000Z,122165.0
2017-04-02T01:30:00:000Z,122288.0
2017-04-02T01:35:00:000Z,122319.0
2017-04-02T01:40:00:000Z,122380.0
2017-04-02T01:45:00:000Z,122399.0
2017-04-02T01:50:00:000Z,122363.0
2017-04-02T01:55:00:000Z,122356.0
2017-04-02T02:00:00:000Z,122282.0
2017-04-02T02:05:00:000Z,122231.0
2017-04-02T02:10:00:000Z,122182.0
2017-04-02T02:15:00:000Z,122131.0
2017-04-02T02:20:00:000Z,122296.0
2017-04-02T02:25:00:000Z,122289.0
2017-04-02T02:30:00:000Z,122254.0
2017-04-02T02:35:00:000Z,122268.0
2017-04-02T02:40:00:000Z,122200.0
2017-04-02T02:45:00:000Z,122187.0
2017-04-02T02:50:00:000Z,122176.0
2017-04-02T02:55:00:000Z,122177.0
2017-04-02T03:00:00:000Z,122199.0
2017-04-02T03:05:00:000Z,122147.0
2017-04-02T03:10:00:000Z,122239.0
2017-04-02T03:15:00:000Z,122009.0
2017-04-02T03:20:00:000Z,122178.0
2017-04-02T03:25:00:000Z,122092.0
2017-04-02T03:30:00:000Z,122188.0
2017-04-02T03:35:00:000Z,122186.0
2017-04-02T03:40:00:000Z,122191.0
