utc_timestamp,rate
2018-10-01T00:00:00:000Z,750447.0
2018-10-01T00:05:00:000Z,752195.0
2018-10-01T00:10:00:000Z,752765.0
2018-10-01T00:15:00:000Z,752445.0
2018-10-01T00:20:00:000Z,752015.0
2018-10-01T00:25:00:000Z,753723.0
2018-10-01T00:30:00:000Z,752715.0
2018-10-01T00:35:00:000Z,752367.0
2018-10-01T00:40:00:000Z,752883.0
2018-10-01T00:45:00:000Z,752819.0
2018-10-01T00:50:00:000Z,752686.0
2018-10-01T00:55:00:000Z,752985.0
2018-10-01T01:00:00:000Z,753692.0
2018-10-01T01:05:00:000Z,753748.0
2018-10-01T01:10:00:000Z,753986.0
2018-10-01T01:15:00:000Z,754236.0
2018-10-01T01:20:00:000Z,755322.0
2018-10-01T01:25:00:000Z,754803.0
2018-10-01T01:30:00:000Z,752600.0
2018-10-01T01:35:00:000Z,753291.0
2018-10-01T01:40:00:000Z,753476.0
2018-10-01T01:45:00:000Z,752815.0
2018-10-01T01:50:00:000Z,752501.0
2018-10-01T01:55:00:000Z,753067.0
2018-10-01T02:00:00:000Z,753034.0
2018-10-01T02:05:00:000Z,753257.0
2018-10-01T02:10:00:000Z,753480.0
2018-10-01T02:15:00:000Z,753249.0
2018-10-01T02:20:00:000Z,753249.0
2018-10-01T02:25:00:000Z,753624.0
2018-10-01T02:30:00:000Z,753050.0
2018-10-01T02:35:00:000Z,753470.0
2018-10-01T02:40:00:000Z,753692.0
2018-10-01T02:45:00:000Z,753821.0
2018-10-01T02:50:00:000Z,754177.0
2018-10-01T02:55:00:000Z,753817.0
2018-10-01T03:00:00:000Z,753735.0
2018-10-01T03:05:00:000Z,753865.0
2018-10-01T03:10:00:000Z,753499.0
2018-10-01T03:15:00:000Z,752942.0
2018-10-01T03:20:00:000Z,753544.0
2018-10-01T03:25:00:000Z,754149.0
2018-10-01T03:30:00:000Z,754313.0
2018-10-01T03:35:00:000Z,754968.0
2018-10-01T03:40:00:000Z,754865.0
2018-10-01T03:45:00:000Z,754195.0
2018-10-01T03:50:00:000Z,754166.0
2018-10-01T03:55:00:000Z,754704.0
2018-10-01T04:00:00:000Z,753974.0
2018-10-01T04:05:00:000Z,754471.0
2018-10-01T04:10:00:000Z,754391.0
2018-10-01T04:15:00:000Z,754764.0
2018-10-01T04:20:00:000Z,755027.0
2018-10-01T04:25:00:000Z,754501.0
2018-10-01T04:30:00:000Z,754483.0
2018-10-01T04:35:00:000Z,754595.0
2018-10-01T04:40:00:000Z,753746.0
2018-10-01T04:45:00:000Z,753499.0
2018-10-01T04:50:00:000Z,751491.0
2018-10-01T04:55:00:000Z,751842.0
2018-10-01T05:00:00:000Z,752407.0
2018-10-01T05:05:00:000Z,751677.0
2018-10-01T05:10:00:000Z,751613.0
2018-10-01T05:15:00:000Z,751745.0
2018-10-01T05:20:00:000Z,751421.0
2018-10-01T05:25:00:000Z,751404.0
2018-10-01T05:30:00:000Z,751400.0
2018-10-01T05:35:00:000Z,751895.0
2018-10-01T05:40:00:000Z,751542.0
2018-10-01T05:45:00:000Z,751986.0
2018-10-01T05:50:00:000Z,751909.0
2018-10-01T05:55:00:000Z,751749.0
2018-10-01T06:00:00:000Z,752262.0
2018-10-01T06:05:00:000Z,752490.0
2018-10-01T06:10:00:000Z,752012.0
2018-10-01T06:15:00:000Z,750705.0
2018-10-01T06:20:00:000Z,750373.0
2018-10-01T06:25:00:000Z,749568.0
2018-10-01T06:30:00:000Z,751473.0
2018-10-01T06:35:00:000Z,751230.0
2018-10-01T06:40:00:000Z,753000.0
2018-10-01T06:45:00:000Z,752999.0
2018-10-01T06:50:00:000Z,752809.0
2018-10-01T06:55:00:000Z,752043.0
2018-10-01T07:00:00:000Z,752360.0
2018-10-01T07:05:00:000Z,751930.0
2018-10-01T07:10:00:000Z,752705.0
2018-10-01T07:15:00:000Z,752040.0
2018-10-01T07:20:00:000Z,751887.0
2018-10-01T07:25:00:000Z,752053.0
2018-10-01T07:30:00:000Z,751803.0
2018-10-01T07:35:00:000Z,751607.0
2018-10-01T07:40:00:000Z,751860.0
2018-10-01T07:45:00:000Z,751340.0
2018-10-01T07:50:00:000Z,751491.0
2018-10-01T07:55:00:000Z,751428.0
2018-10-01T08:00:00:000Z,750050.0
2018-10-01T08:05:00:000Z,750251.0
