utc_timestamp,rate
2019-08-01T00:00:00:000Z,1098551.0
2019-08-01T00:05:00:000Z,1101221.0
2019-08-01T00:10:00:000Z,1102417.0
2019-08-01T00:15:00:000Z,1101000.0
2019-08-01T00:20:00:000Z,1101041.0
2019-08-01T00:25:00:000Z,1099155.0
2019-08-01T00:30:00:000Z,1098899.0
2019-08-01T00:35:00:000Z,1098277.0
2019-08-01T00:40:00:000Z,1100747.0
2019-08-01T00:45:00:000Z,1098999.0
2019-08-01T00:50:00:000Z,1097873.0
2019-08-01T00:55:00:000Z,1099050.0
2019-08-01T01:00:00:000Z,1098982.0
2019-08-01T01:05:00:000Z,1099482.0
2019-08-01T01:10:00:000Z,1098826.0
2019-08-01T01:15:00:000Z,1098000.0
2019-08-01T01:20:00:000Z,1096749.0
2019-08-01T01:25:00:000Z,1096694.0
2019-08-01T01:30:00:000Z,1096487.0
2019-08-01T01:35:00:000Z,1094178.0
2019-08-01T01:40:00:000Z,1093732.0
2019-08-01T01:45:00:000Z,1093618.0
2019-08-01T01:50:00:000Z,1095189.0
2019-08-01T01:55:00:000Z,1095133.0
2019-08-01T02:00:00:000Z,1095312.0
2019-08-01T02:05:00:000Z,1094999.0
2019-08-01T02:10:00:000Z,1094289.0
2019-08-01T02:15:00:000Z,1094501.0
2019-08-01T02:20:00:000Z,1094455.0
2019-08-01T02:25:00:000Z,1094567.0
2019-08-01T02:30:00:000Z,1094035.0
2019-08-01T02:35:00:000Z,1093199.0
2019-08-01T02:40:00:000Z,1093936.0
2019-08-01T02:45:00:000Z,1095892.0
2019-08-01T02:50:00:000Z,1094459.0
2019-08-01T02:55:00:000Z,1094184.0
2019-08-01T03:00:00:000Z,1094933.0
2019-08-01T03:05:00:000Z,1093491.0
2019-08-01T03:10:00:000Z,1093215.0
2019-08-01T03:15:00:000Z,1093600.0
2019-08-01T03:20:00:000Z,1093614.0
2019-08-01T03:25:00:000Z,1093576.0
2019-08-01T03:30:00:000Z,1092904.0
2019-08-01T03:35:00:000Z,1091996.0
2019-08-01T03:40:00:000Z,1092512.0
2019-08-01T03:45:00:000Z,1092939.0
