utc_timestamp,rate
2019-03-01T00:00:00:000Z,422937.0
2019-03-01T00:05:00:000Z,423182.0
2019-03-01T00:10:00:000Z,423520.0
2019-03-01T00:15:00:000Z,423600.0
2019-03-01T00:20:00:000Z,423655.0
2019-03-01T00:25:00:000Z,423602.0
2019-03-01T00:30:00:000Z,423616.0
2019-03-01T00:35:00:000Z,423638.0
2019-03-01T00:40:00:000Z,423572.0
2019-03-01T00:45:00:000Z,423485.0
2019-03-01T00:50:00:000Z,423439.0
2019-03-01T00:55:00:000Z,423556.0
2019-03-01T01:00:00:000Z,423225.0
2019-03-01T01:05:00:000Z,423489.0
2019-03-01T01:10:00:000Z,423601.0
2019-03-01T01:15:00:000Z,423466.0
2019-03-01T01:20:00:000Z,423447.0
2019-03-01T01:25:00:000Z,423375.0
2019-03-01T01:30:00:000Z,423365.0
2019-03-01T01:35:00:000Z,423898.0
2019-03-01T01:40:00:000Z,424224.0
2019-03-01T01:45:00:000Z,424557.0
2019-03-01T01:50:00:000Z,424644.0
2019-03-01T01:55:00:000Z,424633.0
2019-03-01T02:00:00:000Z,424502.0
2019-03-01T02:05:00:000Z,424570.0
2019-03-01T02:10:00:000Z,424385.0
2019-03-01T02:15:00:000Z,424215.0
2019-03-01T02:20:00:000Z,424247.0
2019-03-01T02:25:00:000Z,424298.0
2019-03-01T02:30:00:000Z,424298.0
2019-03-01T02:35:00:000Z,424430.0
2019-03-01T02:40:00:000Z,424600.0
2019-03-01T02:45:00:000Z,424597.0
2019-03-01T02:50:00:000Z,424470.0
2019-03-01T02:55:00:000Z,424585.0
2019-03-01T03:00:00:000Z,424858.0
2019-03-01T03:05:00:000Z,424670.0
2019-03-01T03:10:00:000Z,424691.0
2019-03-01T03:15:00:000Z,424975.0
2019-03-01T03:20:00:000Z,425099.0
2019-03-01T03:25:00:000Z,425257.0
2019-03-01T03:30:00:000Z,425507.0
2019-03-01T03:35:00:000Z,425764.0
2019-03-01T03:40:00:000Z,425108.0
2019-03-01T03:45:00:000Z,425117.0
2019-03-01T03:50:00:000Z,424957.0
2019-03-01T03:55:00:000Z,424929.0
2019-03-01T04:00:00:000Z,424930.0
2019-03-01T04:05:00:000Z,424909.0
2019-03-01T04:10:00:000Z,424613.0
2019-03-01T04:15:00:000Z,424755.0
2019-03-01T04:20:00:000Z,424555.0
2019-03-01T04:25:00:000Z,424583.0
2019-03-01T04:30:00:000Z,424248.0
2019-03-01T04:35:00:000Z,424159.0
2019-03-01T04:40:00:000Z,424102.0
2019-03-01T04:45:00:000Z,424184.0
2019-03-01T04:50:00:000Z,424086.0
2019-03-01T04:55:00:000Z,424101.0
2019-03-01T05:00:00:000Z,424163.0
2019-03-01T05:05:00:000Z,424269.0
2019-03-01T05:10:00:000Z,424454.0
2019-03-01T05:15:00:000Z,424340.0
2019-03-01T05:20:00:000Z,424220.0
2019-03-01T05:25:00:000Z,424320.0
2019-03-01T05:30:00:000Z,424436.0
2019-03-01T05:35:00:000Z,424422.0
2019-03-01T05:40:00:000Z,424401.0
2019-03-01T05:45:00:000Z,424400.0
2019-03-01T05:50:00:000Z,424471.0
2019-03-01T05:55:00:000Z,424409.0
2019-03-01T06:00:00:000Z,424235.0
2019-03-01T06:05:00:000Z,424435.0
2019-03-01T06:10:00:000Z,424483.0
2019-03-01T06:15:00:000Z,424568.0
2019-03-01T06:20:00:000Z,424724.0
2019-03-01T06:25:00:000Z,424860.0
2019-03-01T06:30:00:000Z,424615.0
2019-03-01T06:35:00:000Z,424647.0
2019-03-01T06:40:00:000Z,424697.0
2019-03-01T06:45:00:000Z,424709.0
2019-03-01T06:50:00:000Z,424629.0
2019-03-01T06:55:00:000Z,424684.0
2019-03-01T07:00:00:000Z,424731.0
2019-03-01T07:05:00:000Z,424789.0
2019-03-01T07:10:00:000Z,424898.0
2019-03-01T07:15:00:000Z,424634.0
2019-03-01T07:20:00:000Z,424805.0
2019-03-01T07:25:00:000Z,424751.0
2019-03-01T07:30:00:000Z,424231.0
2019-03-01T07:35:00:000Z,424578.0
2019-03-01T07:40:00:000Z,424993.0
2019-03-01T07:45:00:000Z,425043.0
2019-03-01T07:50:00:000Z,424959.0
2019-03-01T07:55:00:000Z,425500.0
2019-03-01T08:00:00:000Z,425915.0
2019-03-01T08:05:00:000Z,425510.0
2019-03-01T08:10:00:000Z,425599.0
2019-03-01T08:15:00:000Z,425634.0
2019-03-01T08:20:00:000Z,426192.0
2019-03-01T08:25:00:000Z,425925.0
2019-03-01T08:30:00:000Z,426189.0
2019-03-01T08:35:00:000Z,426055.0
2019-03-01T08:40:00:000Z,425998.0
2019-03-01T08:45:00:000Z,426234.0
2019-03-01T08:50:00:000Z,426090.0
2019-03-01T08:55:00:000Z,426213.0
2019-03-01T09:00:00:000Z,426216.0
2019-03-01T09:05:00:000Z,427056.0
2019-03-01T09:10:00:000Z,427471.0
2019-03-01T09:15:00:000Z,427478.0
2019-03-01T09:20:00:000Z,426662.0
2019-03-01T09:25:00:000Z,427192.0
2019-03-01T09:30:00:000Z,427105.0
2019-03-01T09:35:00:000Z,427623.0
2019-03-01T09:40:00:000Z,427456.0
2019-03-01T09:45:00:000Z,427180.0
